timestamp,court,date,criminal_cases_found,files_downloaded,case_numbers,status
2025-07-23T11:21:52.973398,COA01,2025-01-01,0,0,,no_cases
2025-07-23T11:21:55.073801,COA02,2025-01-01,0,0,,no_cases
2025-07-23T11:21:57.166901,COA03,2025-01-01,0,0,,no_cases
2025-07-23T11:21:59.630110,COA04,2025-01-01,0,0,,no_cases
2025-07-23T11:22:02.333266,COA05,2025-01-01,0,0,,no_cases
2025-07-23T11:22:04.428114,COA06,2025-01-01,0,0,,no_cases
2025-07-23T11:22:06.510582,COA07,2025-01-01,0,0,,no_cases
2025-07-23T11:22:08.607378,COA08,2025-01-01,0,0,,no_cases
2025-07-23T11:22:10.764954,COA09,2025-01-01,0,0,,no_cases
2025-07-23T11:22:13.794273,COA10,2025-01-01,0,0,,no_cases
2025-07-23T11:22:16.028690,COA11,2025-01-01,0,0,,no_cases
2025-07-23T11:22:18.392791,COA12,2025-01-01,0,0,,no_cases
2025-07-23T11:22:20.793208,COA13,2025-01-01,0,0,,no_cases
2025-07-23T11:22:23.232318,COA14,2025-01-01,0,0,,no_cases
2025-07-23T11:22:25.699065,COA01,2025-01-02,0,0,,no_cases
2025-07-23T11:22:27.953027,COA02,2025-01-02,2,0,02-24-00063-CR;02-24-00075-CR,completed
2025-07-23T11:22:30.384356,COA03,2025-01-02,0,0,,no_cases
2025-07-23T11:22:32.583082,COA04,2025-01-02,0,0,,no_cases
2025-07-23T11:22:35.513510,COA05,2025-01-02,0,0,,no_cases
2025-07-23T11:22:37.601644,COA06,2025-01-02,0,0,,no_cases
2025-07-23T11:22:39.699199,COA07,2025-01-02,0,0,,no_cases
2025-07-23T11:22:43.041568,COA08,2025-01-02,0,0,,no_cases
2025-07-23T11:22:45.294696,COA09,2025-01-02,0,0,,no_cases
2025-07-23T11:22:47.542903,COA10,2025-01-02,0,0,,no_cases
2025-07-23T11:22:49.901022,COA11,2025-01-02,0,0,,no_cases
2025-07-23T11:22:51.988703,COA12,2025-01-02,0,0,,no_cases
2025-07-23T11:22:54.101313,COA13,2025-01-02,0,0,,no_cases
2025-07-23T11:22:56.381068,COA14,2025-01-02,0,0,,no_cases
2025-07-23T11:22:59.429106,COA01,2025-01-03,0,0,,no_cases
2025-07-23T11:23:01.726281,COA02,2025-01-03,0,0,,no_cases
2025-07-23T11:23:03.990169,COA03,2025-01-03,0,0,,no_cases
2025-07-23T11:23:06.457232,COA04,2025-01-03,0,0,,no_cases
2025-07-23T11:23:10.200777,COA05,2025-01-03,0,0,,no_cases
2025-07-23T11:23:13.645547,COA06,2025-01-03,1,1,06-24-00088-CR,completed
2025-07-23T11:23:19.070092,COA07,2025-01-03,1,1,07-24-00057-CR,completed
2025-07-23T11:23:21.221771,COA08,2025-01-03,0,0,,no_cases
2025-07-23T11:23:23.359650,COA09,2025-01-03,0,0,,no_cases
2025-07-23T11:23:25.526797,COA10,2025-01-03,0,0,,no_cases
2025-07-23T11:23:27.598440,COA11,2025-01-03,0,0,,no_cases
2025-07-23T11:23:29.715882,COA12,2025-01-03,0,0,,no_cases
2025-07-23T11:23:31.847090,COA13,2025-01-03,0,0,,no_cases
2025-07-23T11:23:35.119940,COA14,2025-01-03,0,0,,no_cases
2025-07-23T11:23:37.343646,COA01,2025-01-04,0,0,,no_cases
2025-07-23T11:23:39.570567,COA02,2025-01-04,0,0,,no_cases
2025-07-23T11:23:41.965971,COA03,2025-01-04,0,0,,no_cases
2025-07-23T11:26:35.942306,COA01,2025-01-06,0,0,,no_cases
2025-07-23T11:26:38.155596,COA02,2025-01-06,0,0,,no_cases
2025-07-23T11:26:40.520662,COA03,2025-01-06,0,0,,no_cases
2025-07-23T11:26:43.003382,COA04,2025-01-06,0,0,,no_cases
2025-07-23T11:26:46.289547,COA05,2025-01-06,0,0,,no_cases
2025-07-23T11:26:48.369781,COA06,2025-01-06,0,0,,no_cases
2025-07-23T11:26:51.695738,COA07,2025-01-06,1,1,07-24-00101-CR,completed
2025-07-23T11:26:53.807500,COA08,2025-01-06,0,0,,no_cases
2025-07-23T11:26:55.894744,COA09,2025-01-06,0,0,,no_cases
2025-07-23T11:26:57.997195,COA10,2025-01-06,0,0,,no_cases
2025-07-23T11:27:00.197283,COA11,2025-01-06,0,0,,no_cases
2025-07-23T11:27:02.574041,COA12,2025-01-06,0,0,,no_cases
2025-07-23T11:27:05.112103,COA13,2025-01-06,0,0,,no_cases
2025-07-23T11:27:07.512243,COA14,2025-01-06,0,0,,no_cases
2025-07-23T11:27:10.217894,COA01,2025-01-07,0,0,,no_cases
2025-07-23T11:27:12.553327,COA02,2025-01-07,0,0,,no_cases
2025-07-23T11:27:14.898214,COA03,2025-01-07,0,0,,no_cases
2025-07-23T11:27:17.352922,COA04,2025-01-07,0,0,,no_cases
2025-07-23T11:27:20.539313,COA05,2025-01-07,0,0,,no_cases
2025-07-23T11:27:22.607008,COA06,2025-01-07,0,0,,no_cases
2025-07-23T11:27:25.222712,COA07,2025-01-07,0,0,,no_cases
2025-07-23T11:27:27.331722,COA08,2025-01-07,0,0,,no_cases
2025-07-23T11:27:29.550951,COA09,2025-01-07,0,0,,no_cases
2025-07-23T11:27:31.804265,COA10,2025-01-07,0,0,,no_cases
2025-07-23T11:27:34.134499,COA11,2025-01-07,0,0,,no_cases
2025-07-23T11:27:36.485126,COA12,2025-01-07,0,0,,no_cases
2025-07-23T11:27:38.583056,COA13,2025-01-07,0,0,,no_cases
2025-07-23T11:27:40.828709,COA14,2025-01-07,0,0,,no_cases
2025-07-23T11:27:43.145927,COA01,2025-01-08,0,0,,no_cases
2025-07-23T11:27:46.025704,COA02,2025-01-08,0,0,,no_cases
2025-07-23T11:27:49.301087,COA03,2025-01-08,1,1,03-23-00087-CR,completed
2025-07-23T11:27:52.951372,COA04,2025-01-08,1,1,04-24-00753-CR,completed
2025-07-23T11:27:56.286445,COA05,2025-01-08,0,0,,no_cases
2025-07-23T11:27:59.787365,COA06,2025-01-08,1,1,06-24-00060-CR,completed
2025-07-23T11:28:03.025186,COA07,2025-01-08,1,1,07-24-00256-CR,completed
2025-07-23T11:28:05.192899,COA08,2025-01-08,0,0,,no_cases
2025-07-23T11:28:10.379157,COA09,2025-01-08,2,2,09-24-00404-CR;09-24-00426-CR,completed
2025-07-23T11:28:16.868888,COA10,2025-01-08,0,0,,no_cases
2025-07-23T11:28:18.930508,COA11,2025-01-08,0,0,,no_cases
2025-07-23T11:28:25.201517,COA12,2025-01-08,3,3,12-24-00067-CR;12-24-00133-CR;12-24-00338-CR,completed
2025-07-23T11:28:27.438863,COA13,2025-01-08,0,0,,no_cases
2025-07-23T11:28:29.642200,COA14,2025-01-08,0,0,,no_cases
2025-07-23T11:28:31.851075,COA01,2025-01-09,1,0,01-24-01006-CR,completed
2025-07-23T11:28:34.093764,COA02,2025-01-09,2,0,02-23-00084-CR;02-23-00300-CR,completed
2025-07-23T11:28:37.521172,COA03,2025-01-09,1,1,03-22-00742-CR,completed
2025-07-23T11:28:39.848376,COA04,2025-01-09,0,0,,no_cases
2025-07-23T11:28:42.532419,COA05,2025-01-09,0,0,,no_cases
2025-07-23T11:28:45.874082,COA06,2025-01-09,1,1,06-24-00211-CR,completed
2025-07-23T11:28:47.966492,COA07,2025-01-09,0,0,,no_cases
2025-07-23T11:28:50.498695,COA08,2025-01-09,0,0,,no_cases
2025-07-23T11:28:52.842027,COA09,2025-01-09,0,0,,no_cases
2025-07-23T11:28:56.487979,COA10,2025-01-09,1,1,10-24-00038-CR,completed
2025-07-23T11:29:03.651641,COA11,2025-01-09,3,3,11-23-00122-CR;11-23-00237-CR;11-23-00267-CR,completed
2025-07-23T11:29:06.080483,COA12,2025-01-09,0,0,,no_cases
2025-07-23T11:29:09.530967,COA13,2025-01-09,1,1,13-24-00646-CR,completed
2025-07-23T11:29:11.957984,COA14,2025-01-09,0,0,,no_cases
